district_name,submission_date,grievance_text,submitted_by,year,resolved,did,cat_grievance_text
Bhubaneswar,2020-01-06,"Hostel conditions are very poor, water supply is irregular.",Bikash Mohanty,2020,0.0,0031,Poor water supply
Bhubaneswar,2020-01-11,Stipend not credited for the last three months.,Chinmayee Nayak,2020,1.0,0031,Stipend not credited
Bhubaneswar,2020-02-07,Students are asked to arrange their own materials for practice.,Manas Ranjan,2020,1.0,0031,Students arrange own materials
Bhubaneswar,2020-02-07,Trainer has not come to the institute for the past two weeks.,Satyajit Jena,2020,0.0,0031,Trainer absence
Bhubaneswar,2020-02-12,Internet not working in the computer lab for over a month.,Manas Ranjan,2020,1.0,0031,Internet not working
Bhubaneswar,2020-03-07,Electricity is not available during class hours.,Lalitendu Panda,2020,0.0,0031,Lack of electricity
Bhubaneswar,2020-03-07,Stipend not credited for the last three months.,Mamata Barik,2020,0.0,0031,Stipend not credited
Bhubaneswar,2020-03-11,No practical classes being conducted for welding program.,Manas Ranjan,2020,0.0,0031,No practical classes
Bhubaneswar,2020-04-10,"Hostel conditions are very poor, water supply is irregular.",Lipika Das,2020,0.0,0031,Poor water supply
Bhubaneswar,2020-04-10,Stipend not credited for the last three months.,Manas Ranjan,2020,1.0,0031,Stipend not credited
Bhubaneswar,2020-04-11,"Hostel conditions are very poor, water supply is irregular.",Manas Ranjan,2020,0.0,0031,Poor water supply
Bhubaneswar,2020-04-12,Trainer has not come to the institute for the past two weeks.,Bikash Mohanty,2020,1.0,0031,Trainer absence
Bhubaneswar,2020-04-13,"Grievance was registered last month, no action yet.",Rashmi Rekha,2020,1.0,0031,"No action, past month"
Bhubaneswar,2020-04-13,Students are asked to arrange their own materials for practice.,Lipika Das,2020,0.0,0031,Students arrange own materials
Bhubaneswar,2020-04-16,Stipend not credited for the last three months.,Pratyush Swain,2020,1.0,0031,Stipend not credited
Bhubaneswar,2020-04-18,Trainer has not come to the institute for the past two weeks.,Sasmita Rout,2020,0.0,0031,Trainer absence
Bhubaneswar,2020-04-21,Lab equipment is broken and no replacement has been provided.,Chinmayee Nayak,2020,0.0,0031,Broken lab equipment
Bhubaneswar,2020-04-22,Stipend not credited for the last three months.,Manas Ranjan,2020,0.0,0031,Stipend not credited
Bhubaneswar,2020-04-25,Only one instructor for three different trades.,Lalitendu Panda,2020,1.0,0031,Unique instructor
Bhubaneswar,2020-04-27,"Grievance was registered last month, no action yet.",Pratyush Swain,2020,0.0,0031,"No action, past month"
Bhubaneswar,2020-04-27,"Hostel conditions are very poor, water supply is irregular.",Chinmayee Nayak,2020,0.0,0031,Poor water supply
Bhubaneswar,2020-04-29,Lab equipment is broken and no replacement has been provided.,Bikash Mohanty,2020,0.0,0031,Broken lab equipment
Bhubaneswar,2020-04-30,Lab equipment is broken and no replacement has been provided.,Lalitendu Panda,2020,1.0,0031,Broken lab equipment
Bhubaneswar,2020-05-01,No practical classes being conducted for welding program.,Sasmita Rout,2020,0.0,0031,No practical classes
Bhubaneswar,2020-05-02,"Hostel conditions are very poor, water supply is irregular.",Mamata Barik,2020,1.0,0031,Poor water supply
Bhubaneswar,2020-05-05,Stipend not credited for the last three months.,Bikash Mohanty,2020,0.0,0031,Stipend not credited
Bhubaneswar,2020-05-06,No practical classes being conducted for welding program.,Manas Ranjan,2020,0.0,0031,No practical classes
